order	sequence	thai	phonetic	description	short-description	set	level
198	1	ลืมอะไรเหรอ	lʉʉm à-rai rə̌ə	Did you forget something?  	Did you forget something?  	Super Useful Short Expressions, Part 11  	low-intermediate level
199	2	ลืมบอก(ไป)ว่า... lʉʉm bɔ̀ɔk	bpai	wâa... I forgot to tell you...  	wâa... I forgot to tell you...		
200	3	ผมจะไม่มีวันลืม	pǒm jà mâi mii wan lʉʉm	I will never forget! / I'll always remember!  	I will never forget! / I'll al		
201	4	จริงเหรอ	jing rə̌ə	Really?/ Seriously? 	Really?/ Seriously? 		
202	5	นี่คุณเมาหรือเปล่า	nîi kun mao rʉ̌ʉ-bplàao	Are you drunk?  	Are you drunk?  		
203	6	ไม่ไหวแล้ว	mâi-wǎi lɛ́ɛo	I can't take it anymore! / I can't stand this anymore! / I can't do this anymore!  	I can't take it anymore! / I c		
204	7	ใจเย็นๆ	jai yen-yen	Relax. / Calm Down. / Take it easy.  	Relax. / Calm Down. / Take it 		
205	8	ทำไปได้ยังไง	tam bpai dâi yang-ngai	How could you do that?!  	How could you do that?!  		
206	9	ผมคิดว่า...	pǒm kít wâa...	I think...  	I think...  		
207	10	ผมว่า...	pǒm wâa...	INFORMAL I think... 	INFORMAL I think... 		
208	11	มันไม่ง่าย	man mâi ngâai	It's not easy. / It won't be easy.  	It's not easy. / It won't be e		
209	12	อย่าเข้ามานะ	yàa kâo maa ná	Don't come any closer. / Don't come in here.  	Don't come any closer. / Don't		
210	13	ไปให้พ้น	bpai hâi pón	Get lost. / Get out of here. / Go away!  	Get lost. / Get out of here. /		
211	14	โกรธเหรอ	gròot rə̌ə	Are you angry? 	Are you angry? 		
212	15	จะพยายาม	jà pá-yaa-yaam	I'll try. 	I'll try. 		
213	16	ช่วยด้วย	chûai-dûai	Help me! / Help! 	Help me! / Help! 		
214	17	แน่ใจนะว่า...	nɛ̂ɛ-jai ná wâa...	Are you sure (that)...?  	Are you sure (that)...?  		
215	18	ผมไม่รู้ / ผมไม่ทราบ	pǒm mâi rúu / pǒm mâi sâap	I don't know. [Note: ทราบ (sâap) is more formal]  	I don't know. [Note: ทราบ (sâa		
216	19	อย่ามอง	yàa mɔɔng	Don't look.  	Don't look.  		
217	20	ไม่เกี่ยวกับคุณ	mâi gìao gàp kun	It's none of your business. / It's not about you. / It's no concern of yours.  	It's none of your business. / 		
218	1	ไม่ต้องกลัว	mâi dtɔ̂ng glua	No need to be afraid. / Don't worry. / Don't be scared.  	No need to be afraid. / Don't 	Super Useful Short Expressions, Part 12  	low-intermediate level
219	2	อย่าลืมวันเกิดผม	yàa lʉʉm wan-gə̀ət pǒm	Don't forget my birthday. 	Don't forget my birthday. 		
220	3	ฉันจำวันเกิดของคุณได้	chǎn jam wan-gə̀ət kɔ̌ɔng kun dâi	I remember when your birthday is. / I can remember when your birthday is.  	I remember when your birthday 		
221	4	หมดอายุแล้ว	mòt aa-yú lɛ́ɛo	It's expired. / It's reached its expiration date.  	It's expired. / It's reached i		
222	5	เข้มงวดมาก	kêm-ngûat mâak	She's so strict! / It's very strict.  	She's so strict! / It's very s		
223	6	พูดอะไรอย่างงั้น INFORMAL	pûut à-rai yàang-ngán	What are you talking about?! (Are you kidding?!)	What are you talking about?! (		
224	7	(มัน)ไม่จริง(หรอก)	man	mâi jing (rɔ̀ɔk) That's not true (at all).  	mâi jing (rɔ̀ɔk) That's not tr		
225	8	ไม่เคยมาที่นี่	mâi kəəi maa tîi-nîi	I've never been here (before).  	I've never been here (before).		
226	9	เคยได้ยินมา	kəəi dâi-yin maa	I've heard it before.  	I've heard it before.  		
227	10	ทำอาหารไม่เป็น(เลย) tam-aa-hǎan mâi-bpen	ləəi	I can't cook (at all).  	I can't cook (at all).  		
228	11	ทำอะไรไม่ได้	tam à-rai mâi-dâi	(I) can't do anything. / There's nothing I can do.  	(I) can't do anything. / There		
229	12	ไม่รู้ว่าทำไม	mâi rúu wâa tam-mai	I don't know why.  	I don't know why.  		
230	13	ไม่เข้าใจว่าทำไม	mâi kâo-jai wâa tam-mai	I don't understand why.  	I don't understand why.  		
231	14	บอกตามตรง...	bɔ̀ɔk dtaam-dtrong	To be honest... / I'll be honest with you... / Honestly...  	To be honest... / I'll be hone		
232	15	ดีใจที่ได้คุยกัน	dii-jai tîi dâi kui-gan	Nice talking to you. / It was nice talking with you. 	Nice talking to you. / It was 		
233	16	ดีใจที่ได้พบกัน	dii-jai tîi dâi pop-gan	It was nice meeting you.  	It was nice meeting you.  		
234	17	ดึกแล้ว	dʉ̀k lɛ́ɛo	It's (getting) late. / It's really late. 	It's (getting) late. / It's re		
235	18	หยุดเดี๋ยวนี้	yùt dǐao-níi	Stop it! / Stop!  	Stop it! / Stop!  		
236	19	แปลว่าอะไร(คะ) bplɛ̀ɛ wâa à-rai	ká	What does (it) mean? / What does (this) mean?  	What does (it) mean? / What do		
237	20	แปลว่า...	bplɛ̀ɛ wâa...	That/it means...  	That/it means...  		
238	1	แยกไม่ออก	yɛ̂ɛk-mâi-ɔ̀ɔk	I can't tell them apart. / I can't see the difference (between them).  	I can't tell them apart. / I c	Super Useful Short Expressions, Part 13   	low-intermediate level
239	2	แทบไม่เชื่อสายตา	tɛ̂ɛp mâi-chʉ̂a sǎai-dtaa	I could hardly believe my eyes!  	I could hardly believe my eyes		
240	3	ยินดีช่วยเหลือ	yin-dii chûai-lʉ̌a	Happy to help. / Glad to be of assistance.  	Happy to help. / Glad to be of		
241	4	จะอยู่ได้ยังไงถ้าไม่มีเขา	jà yùu dâi yang-ngai tâa mâi mii kǎo	How will I live/survive without him?  	How will I live/survive withou		
242	5	ช่วยเซ็น(ชื่อ)ตรงนี้หน่อย(ครับ/ค่ะ) chûai sen	chʉ̂ʉ	dtrong-níi nɔ̀i (kráp/kà) Please sign here.  	dtrong-níi nɔ̀i (kráp/kà) Plea		
243	6	พอกันที	pɔɔ-gan tii	(That's) enough! / I've had enough!  	(That's) enough! / I've had en		
244	7	น่าสมเพชจริงๆ SEMI-LITERARY	nâa-sǒm-pêet jing-jing	How pathetic! / How pitiful!  	How pathetic! / How pitiful!  		
245	8	ไม่เป็นอะไรหรอก	mâi bpen-à-rai rɔ̀ɔk	She'll be okay. / Nothing's going to happen to her. / It'll be alright.  	She'll be okay. / Nothing's go		
246	9	เหมือนเป็นคนละคนเลย	mʉ̌an bpen kon-lá kon ləəi	She's like a completely different person. 	She's like a completely differ		
247	10	ในสายตาผม...	nai sǎai-dtaa pǒm...	In my eyes... / From my point of view... / To me... / (You don't look...) to me. 	In my eyes... / From my point 		
248	11	หากต้องการข้อมูลเพิ่มเติม... FORMAL	hàak dtɔ̂ng-gaan kɔ̂ɔ-muun pə̂əm-dtəəm...	For more information... / If you need further information...  	For more information... / If y		
249	12	ผมก็ไม่ว่า(อะไร) pǒm gɔ̂ɔ mâi-wâa	à-rai	It's fine with me. / Feel free. / I don't mind. (if you do it)  	It's fine with me. / Feel free		
250	13	ทีแรกคิดว่า...	tii-rɛ̂ɛk kít-wâa...	At first I thought...  	At first I thought...  		
251	14	คงไม่หรอก	kong mâi rɔ̀ɔk	It's not likely. / I don't think so. / Probably not.  	It's not likely. / I don't thi		
252	15	ไม่ใช่เรื่องบังเอิญ	mâi-châi rʉ̂ang bang-əən	It's not a coincidence. / It's not just by chance.  	It's not a coincidence. / It's		
253	16	ถ้ายังงั้น...	tâa yang-ngán...	In that case... / So... / Well then...  	In that case... / So... / Well		
254	17	ทุกอย่างเปลี่ยนไป	túk-yàang bplìan bpai	Everything has changed. / Everything is different. / Everything changes.  	Everything has changed. / Ever		
255	18	มันทำใจลำบาก	man tam-jai lam-bàak	It's really hard! / This is really hard on me! (breaking up with someone, etc.)  	It's really hard! / This is re		
256	19	คุณทำเพื่ออะไร	kun tam pʉ̂a-à-rai	What did you do it for? / Why did you do it?  Note: เพื่ออะไร (pʉ̂a-à-rai) means 'for what reason' or 'why'.  	What did you do it for? / Why 		
257	20	จ(เขา)ได้ไหม jam	kǎo	dâi mǎi Do you remember (him)? 	dâi mǎi Do you remember (him)?		
258	1	ไม่เชื่อหรอก	mâi chʉ̂a rɔ̀ɔk	I don't believe it! / I don't believe you!  	I don't believe it! / I don't 	Super Useful Short Expressions, Part 14  	low-intermediate level
259	2	อย่าไปเชื่อ(...) yàa bpai chʉ̂a(...) Don't believe it/him! / Don't believe...  					
260	3	จะไม่มีใครเชื่อ	jà mâi mii krai chʉ̂a...	No one's gonna believe you! / No one would believe you!  	No one's gonna believe you! / 		
261	4	ผมจัดการเอง	pǒm jàt-gaan eeng	I'll take care of it myself. / I'll do it myself. 	I'll take care of it myself. /		
262	5	แค่อยากให้คุณรู้ว่า...	kɛ̂ɛ yàak hâi kun rúu wâa...	I just want you to know...  	I just want you to know...  		
263	6	มีโอกาส(สูง)มากที่... mii oo-gàat	sǔung	mâak tîi... There's a good/great chance that... / It's very likely that...  	mâak tîi... There's a good/gre		
264	7	อย่ารู้เลย	yàa rúu ləəi	It's better if you don't know. / You don't wanna know! 	It's better if you don't know.		
265	8	...อะไรประมาณนี้	...à-rai bprà-maan nií	...(or)something (like that).  	something like that ...		
266	9	มาพอดีเลย	maa pɔɔ-dii ləəi	You're just in time. / Speak of the devilhere she is/comes.  	You're just in time. / Speak o		
267	10	ตกลง... INTERJECTION	dtòk-long...	So... / Okay... / Alright... (like 'Tell me...' when making a decision/conclusion)  11) ฉันยกโทษให้ (chǎn yók-tôot-hâi)I forgive you.  	So... / Okay... / Alright... (		
268	12	คุณก็รู้ว่าผมคิดยังไง	kun gɔ̂ɔ rúu wâa pǒm kít yang-ngai	You know how I feel (about you). 	You know how I feel (about you		
269	13	ไม่ต้องก็ได้	mâi-dtɔ̂ng gɔ̂ɔ-dâi	You don't have to. / No need to. / Don't bother.  	You don't have to. / No need t		
270	14	ไม่รู้จะซื้ออะไรดี	mâi-rúu jà sʉ́ʉ à-rai dii	I don't what to buy. / I don't know what I should buy.  	I don't what to buy. / I don't		
271	15	ทั้งวันทั้งคืน	táng wan táng kʉʉn	All day and all night / Night and day / Day and night  	All day and all night / Night 		
272	16	อย่าลืมซื้อของฝาก	yàa lʉʉm sʉ́ʉ-kɔ̌ɔng fàak	Don't forget to buy me something. / Don't forget to buy me a souvenir.  	Don't forget to buy me somethi		
273	17	เพราะฉันใช่ไหม	prɔ́ chǎn châi-mǎi	Because of me, right? / Because of me?  	Because of me, right? / Becaus		
274	18	เทียบไม่ได้เลย / เทียบไม่ได้กับ...	tîap mâi-dâi ləəi / tîap mâi-dâi gàp...	It doesn't compare at all. / I'm no match for (him). / That's nothing compared to...  	It doesn't compare at all. / I		
275	19	คุณไม่มีสิทธิ์...	kun mâi mii sìt...	You have no right to... / You can't just...  	You have no right to... / You 		
276	20	ไม่อยากเชื่อเลย	mâi yàak chʉ̂a ləəi	Unbelievable! / It's unbelievable.  	Unbelievable! / It's unbelieva		
277	1	อย่าทำแบบนี้	yàa tam bɛ̀ɛp-níi	Don't do this. 	Don't do this. 	Super Useful Short Expressions, Part 15   	high-beginner level
278	2	อย่าทำแบบนั้น	yàa tam bɛ̀ɛp-nán	Don't do that.  	Don't do that.  		
279	3	อย่าทำแบบนี้กับฉัน	yàa tam bɛ̀ɛp-níi gàp chǎn	Don't do this to me.  	Don't do this to me.  		
280	4	อย่าทำแบบนี้อีก	yàa tam bɛ̀ɛp-níi ìik	Don't do it again. 	Don't do it again. 		
281	5	เงียบมาก	ngîap mâak	It's so quiet!  	It's so quiet!  		
282	6	เสียงดังมาก	sǐang-dang mâak	It's so loud!  	It's so loud!  		
283	7	โชคดีนะ(ค่ะ/ครับ) chôok-dii ná	kà / kráp	Good luck. / Take care.  	Good luck. / Take care.  		
284	8	ขอบใจ	kɔ̀ɔp-jai	Thanks. (use older to younger or between close friends)  	Thanks. (use older to younger 		
285	9	ออกไป	ɔ̀ɔk bpai	Get out of here! / Get out!  	Get out of here! / Get out!  		
286	10	ไม่ต้องพูด	mâi dtɔ̂ng pûut	Don't tell me (about it). / No need to mention that.  	Don't tell me (about it). / No		
287	11	ไม่อยากฟัง	mâi yàak fang	I don't wanna hear (it). 	I don't wanna hear (it). 		
288	12	เป็นไปไม่ได้	bpen-bpai mâi-dâi	Impossible!; That's impossible!  	Impossible!; That's impossible		
289	13	เขาเป็นเพื่อนฉัน	kǎo bpen pʉ̂an chǎn	He's my friend. 	He's my friend. 		
290	14	นี่ไง	nîi ngai	Here it is. 	Here it is. 		
291	15	นี่ครับ/ค่ะ	nîi kráp / nîi kà	Here you are. (hands something to the listener)  	Here you are. (hands something		
292	16	ยินดีเสมอ	yin-dii sà-mə̌ə	My pleasure. / You're more than welcome. / It's always a pleasure.  	My pleasure. / You're more tha		
293	17	มีเงินเก็บ	mii ngən-gèp	I have some money saved up.  	I have some money saved up.  		
294	18	ปกติแล้ว...	bpòk-gà-dtì lɛ́ɛo...	Normally... / Usually... / Generally... / Typically...  	Normally... / Usually... / Gen		
295	19	ไม่ต้องทอนนะ	mâi-dtɔ̂ng tɔɔn ná	Keep the change.  	Keep the change.  		
296	20	รับอะไรเพิ่มไหม	ráp à-rai pə̂əm mǎi	Would you like anything else?  	Would you like anything else? 		
297	1	ทำไม่เป็น	tam mâi-bpen	I don't know how (to do it).  	I don't know how (to do it).  	Super Useful Short Expressions, Part 16  	low-intermediate level
298	2	มีอะไรหรือเปล่า INFORMAL	mii à-rai rʉ̌ʉ-bplàao	What's the matter? / What's up? / What is it?  	What's the matter? / What's up		
299	3	เป็นอะไรของคุณ INFORMAL	bpen-à-rai kɔ̌ɔng kun	What's wrong with you?! / What happened to you?! / What's your problem?!  	What's wrong with you?! / What		
300	4	จะให้ผมทำยังไง	jà hâi pǒm tam yang-ngai	What do you want me to do? 	What do you want me to do? 		
301	5	เขารับไม่ได้	kǎo ráp mâi-dâi	She can't accept it. / She can't handle it. / She can't live with it.  	She can't accept it. / She can		
302	6	ไม่รู้ได้ยังไง INFORMAL	mâi rúu dâi yang-ngai	How could you not know? 	How could you not know? 		
303	7	ก็ยังดีกว่า...	gɔ̂ɔ yang dii gwàa...	Well, that's (still) better than... / It beats...  	Well, that's (still) better th		
304	8	(แล้ว)จะเอายังไงต่อ	lɛ́ɛo	jà ao yang-ngai dtɔ̀ɔ (So) what now? / (So) what do we do now? / Now what?  	jà ao yang-ngai dtɔ̀ɔ (So) wha		
305	9	ไม่ต้องไปสนใจ(มัน) INFORMAL mâi-dtɔ̂ng bpai sǒn-jai	man	Don't let her bother you. / Don't pay any attention (to what she says). / Just  ignore her.  Note: The pronoun มัน (man) is used in a derogatory way here, but it can also be casual.  	Don't let her bother you. / Do		
306	10	จะเอาเงินที่ไหน...	jà ao ngən tîi-nǎi...	Where are we gonna get the money to...? / How are we gonna afford...?  	Where are we gonna get the mon		
307	11	ไม่ค่อยได้ใช้	mâi-kɔ̂i dâi chái	I hardly ever use it. / I haven't used it very much. / I barely ever use it.  	I hardly ever use it. / I have		
308	12	เชื่อกันว่า...	chʉ̂a gan wâa...	It's believed that...  	It's believed that...  		
309	13	ไม่ต้องสงสัย(ว่า...) mai-dtɔ̂ng sǒng-sǎi	wâa...	Obviously... / Without a doubt... / It's obvious (that...)  	Obviously... / Without a doubt		
310	14	แม่ขา	mɛ̂ɛ kǎa	Mommy... / Mom... (this is a cute way of a child addressing his/her mother)  15) ไม่อยากอยู่แล้ว (mâi yàak yùu lɛ́ɛo)I want to die.  	Mommy... / Mom... (this is a c		
311	16	มันผ่านไปแล้ว	man pàan bpai lɛ́ɛo	It's over. / It's in the past (now).  	It's over. / It's in the past 		
312	17	เกิดอะไรขึ้น	gə̀ət à-rai kʉ̂n	What happened?  	What happened?  		
313	18	นี่มันอะไรกัน STRONG	nîi man à-rai gan	What on earth is this?! / What the hell is this?!  	What on earth is this?! / What		
314	19	เขาเรียกตัวเองว่า...	kǎo rîak dtua-eeng wâa...	He calls himself "....".  	He calls himself "....".  		
315	20	พวกเขาเรียกตัวเองว่า...	pûak-kǎo rîak dtua-eeng wâa...	They call themselves "....".  	They call themselves "....".  		
316	1	คุณดูดี	kun duu-dii	You look good.  	You look good.  	Super Useful Short Expressions, Part 17  	high-beginner level
317	2	คุณดูดีมาก	kun duu-dii mâak	You look great.  	You look great.  		
318	3	ขับรถดีๆ	นะ	(kàp-rót dii-dii ná) Drive safely.  	(kàp-rót dii-dii ná) Drive saf		
319	4	คุณพระช่วย	kun-prá-chûai	Oh, my god! / Goodness! / Oh no! / Gosh! 	Oh, my god! / Goodness! / Oh n		
320	5	ผมไปส่ง	pǒm bpai sòng	I'll see you out. / I'll walk you out. / I'll see you to the (door, car, etc. ). 	I'll see you out. / I'll walk 		
321	6	ฉันได้ยินมาว่า...	chǎn dâi-yin maa wâa...	I heard that... / I hear that...  	I heard that... / I hear that.		
322	7	ไม่รู้มาก่อนว่า...	mâi-rúu maa-gɔ̀ɔn wâa...	I didn't know (before) that... / I never knew...  	I didn't know (before) that...		
323	8	จะไปไหนกัน	jà bpai nǎi gan	Where are you guys going? / Where are we going?  	Where are you guys going? / Wh		
324	9	ไม่เข้าใจ	mâi-kâo-jai	I don't understand.  	I don't understand.  		
325	10	สวัสดีค่ะ / สวัสดีครับ	sà-wàt-dii kà / sà-wàt-dii kráp	Good-bye (or Hello)  	Good-bye (or Hello)  		
326	11	ตอนที่เป็นเด็ก... / ตอนเด็ก...*	dtɔɔn-tîi bpen dèk... / dtɔɔn dèk-dèk...*	When I was a kid/child/boy/girl...  	When I was a kid/child/boy/gir		
327	*Note: this is very casual.  						
328	12	รอสักครู่(ครับ) rɔɔ-sàk-krûu	kráp	(Please) wait a moment/minute. / Just a moment (please).  	(Please) wait a moment/minute.		
329	13	กรุณารอสักครู่(ค่ะ) FORMAL gà-rú-naa rɔɔ-sàk-krûu	kà	(Please) wait a moment/minute. / Just a moment (please).  	(Please) wait a moment/minute.		
330	14	เดี๋ยวฉันกลับมา(ค่ะ) dǐao chǎn glàp-maa	kà	I'll be right back.  	I'll be right back.  		
331	15	เสียงอะไร(คะ)	sǐang à-rai ká	What's that sound? / What was that?  	What's that sound? / What was 		
332	16	แตกไปแล้ว	dtɛ̀ɛk bpai lɛ́ɛo	It's broken. / It shattered.  	It's broken. / It shattered.  		
333	17	ใครๆก็รู้(...)	krai-krai gɔ̂ɔ rúu...	Everyone knows (that...)  	Everyone knows (that...)  		
334	18	ฉันชอบ... เหมือนกัน	chǎn chɔ̂ɔp... mʉ̌an-gan	I like... too.  	I like... too.  		
335	19	ไม่มีปัญหาหรอก(ค่ะ) mâi mii bpàn-hǎa rɔ̀ɔk	kà	It's not a problem at all. / I don't have a problem with it. / No problem at all.  	It's not a problem at all. / I		
336	20	เราสนิทกันมาก	rao sà-nìt gan mâak	We're very close (good friends).  	We're very close (good friends		
337	1	พูดเล่นใช่ไหม	pûut-lên châi-mǎi	You're joking, right?  	You're joking, right?  	Super Useful Short Expressions, Part 18  	low-intermediate level
338	2	ไม่ได้พูดเล่นนะ	mâi-dâi pûut-lên ná	I'm not joking.  	I'm not joking.  		
339	3	แกเคยพูดว่า...	gɛɛ kəəi pûut wâa...	You said (before) (that)... / You once said (that)...  	You said (before) (that)... / 		
340	4	เสียใจด้วยจริงๆ(ค่ะ) sǐa-jai dûai jing-jing	kà	I'm so sorry to hear (about) that. (bad news) / My condolences.  	I'm so sorry to hear (about) t		
341	5	มันเป็นอุบัติเหตุ	man bpen ù-bpà-dtì-hèet	It was an accident.  	It was an accident.  		
342	6	ผมจะทำให้ดีที่สุด	pǒm jà tam hâi dii-tîi-sùt	I'll do my best.  	I'll do my best.  		
343	7	เธอท้องได้	3	เดือน(แล้ว) təə tɔ́ɔng dâi (sǎam) dʉan (lɛ́ɛo) She's (three) months pregnant. 	เดือน(แล้ว) təə tɔ́ɔng dâi (sǎ		
344	8	ขนาดนั้นเลยหรอ	kà-nàat nán ləəi rə̌ə	That much?! 	That much?! 		
345	9	(นาน)ขนาดนั้นเลยหรอ	naan	kà-nàat nán ləəi rə̌ə That (long)?!  	kà-nàat nán ləəi rə̌ə That (lo		
346	10	โธ่เอ๋ย	tôo-ə̌əi	Oh man! / Oh shit! / Damn!  	Oh man! / Oh shit! / Damn!  		
347	11	อย่าเข้าใจผิดนะ	yàa kâo-jai-pìt ná	Don't misunderstand (me).  	Don't misunderstand (me).  		
348	12	ได้โปรดอย่าเข้าใจผิด FORMAL	dâi-bpròot yàa kâo-jai-pìt	Please don't misunderstand.  	Please don't misunderstand.  		
349	13	คุณสัญญากับฉันแล้ว(ว่า)... kun sǎn-yaa gàp chǎn lɛ́ɛo	wâa	... You promised me. / You promised (that) you...  	... You promised me. / You pro		
350	14	ผมไม่ได้สัญญา(อะไร) pǒm mâi-dâi sǎn-yaa	à-rai	I didn't promise (anything).  	I didn't promise (anything).  		
351	15	เราเหมือนกันมาก	rao mʉ̌an-gan mâak	We're very similar. / We're so much alike.  	We're very similar. / We're so		
352	16	หน้าตาเหมือนกันมาก	nâa-dtaa mʉ̌an-gan mâak	(They) look very similar. / (They) look so much alike.  	(They) look very similar. / (T		
353	17	ฉันซื้อ(ขนม)มาฝาก chǎn sʉ́ʉ	kà-nǒm	maa fàak I bought some (sweets) for you.  	maa fàak I bought some (sweets		
354	18	ครั้งเดียวไม่(เคย)พอ kráng-diao mâi	kəəi	pɔɔ Once is not (never) enough.  	pɔɔ Once is not (never) enough		
355	19	อย่ามาโทษฉัน	yàa maa tôot chǎn	Don't blame me! 	Don't blame me! 		
356	20	อย่าโทษตัวเอง	yàa tôot dtua-eeng	Don't blame yourself.  	Don't blame yourself.  		
357	1	ว่าไง INFORMAL	wâa-ngai	What's up?  Note: This has a lot of other meanings.  	What's up?  Note: This has a l	Super Useful Short Expressions, Part 19  	low-intermediate level
358	2	ช่วยไม่ได้	chûai mâi-dâi	It can't be helped. / I can't help it. / There's nothing I can do about it.  Note: This also means 'I can't help.'  	It can't be helped. / I can't 		
359	3	เขาหนีไปแล้ว	kǎo nǐi bpai lɛ́ɛo	He ran away (already) / He's escaped. / He's gone (ran away/escaped).  	He ran away (already) / He's e		
360	4	ไปเลย INFORMAL/ROUGH	bpai ləəi	Go! / Go on! / Go ahead. 	Go! / Go on! / Go ahead. 		
361	5	เหม็น	měn	It stinks! / It smells bad.  	It stinks! / It smells bad.  		
362	6	(...)(ก็)แค่นั้นเอง	...	(gɔ̂ɔ)kɛ̂ɛ-nán eeng That's all it is. / That's all. / ...is all.  	(gɔ̂ɔ)kɛ̂ɛ-nán eeng That's all		
363	7	ฉันเคยถามเธอว่า...	chǎn kəəi tǎam təə wâa...	I('ve) asked you before.../ I used to ask you... 	I('ve) asked you before.../ I 		
364	8	เธอจะบอกว่า...	təə jà bɔ̀ɔk wâa...	Are you gonna tell me...? / Are you saying...?	Are you gonna tell me...? / Ar		
365	9	ถึงเวลา(ที่)ต้อง... tʉ̌ng wee-laa	tîi	dtɔ̂ng... It's time to... / The time has come to...  	dtɔ̂ng... It's time to... / Th		
366	10	ไม่เคยฟัง	mâi kəəi fang	You never listen. / You never listen to me. 	You never listen. / You never 		
367	11	รู้สึกไม่ค่อยสบาย	rúu-sʉ̀k mâi-kɔ̂i sà-baai	I don't feel so well. / I'm not feeling well. 	I don't feel so well. / I'm no		
368	12	เป็นแค่งานอดิเรก	bpen kɛ̂ɛ ngaan-à-dì-rèek	It's just a hobby.  	It's just a hobby.  		
369	13	ไว้ใจใครไม่ได้	wái-jai krai mâi-dâi	You can't trust anyone.  	You can't trust anyone.  		
370	14	ขอตัวก่อนนะ(ครับ) FORMAL kɔ̌ɔ-dtua gɔ̀ɔn ná	kráp	(Please) excuse me (I have to go). / Goodbye.  	(Please) excuse me (I have to 		
371	15	คิดไปเอง	kít bpai eeng	You're imagining things. / It's all in your head.  	You're imagining things. / It'		
372	16	ผมพูดความจริง	pǒm pûut kwaam-jing	I'm telling the truth.  	I'm telling the truth.  		
373	17	อย่าหาเรื่องนะ	yàa hǎa-rʉ̂ang ná	Don't make trouble.  	Don't make trouble.  		
374	18	ขอเวลาส่วนตัว	kɔ̌ɔ wee-laa sùan-dtua	Please give (us/me) some time alone. 	Please give (us/me) some time 		
375	19	ผมผิดเอง	pǒm pìt eeng	It was my fault. / It was my mistake. / My bad. 	It was my fault. / It was my m		
376	20	ต่อไปนี้	dtɔ̀ɔ-bpai-níi	From now on... 	From now on... 		
377	1	(น้อย)อยู่ไหน	nɔ́ɔi	yùu nǎi Where's (Noi )?  	yùu nǎi Where's (Noi )?  	Super Useful Short Expressions, Part 20  	high-beginner level
378	2	เธอโสด	təə sòot	She's single. 	She's single. 		
379	3	เธอเป็นแฟนคนแรก(ของผม) təə bpen fɛɛn kon-rɛ̂ɛk	kɔ̌ɔng pǒm	She was my first girlfriend.  	She was my first girlfriend.  		
380	4	เธอเป็นคนขี้อาย(มาก) təə bpen kon kîi-aai	mâak	She's (really) shy. 	She's (really) shy. 		
381	5	เธอก็เลย...	təə gɔ̂ɔ ləəi...	So you/she... 	So you/she... 		
382	6	นั่นอะไร(ครับ) nân à-rai	kráp	What's that?  	What's that?  		
383	7	ฉันกลัวผีอ่ะ chǎn glua pǐi	à	I'm afraid of ghosts. Note: อ่ะ (à) is an informal, shortened form of ล่ะ (là).  	I'm afraid of ghosts. Note: อ่		
384	8	ผมไม่กลัวผี(หรอก) pǒm mâi glua pǐi	rɔ̀ɔk	I'm not afraid of ghosts (at all).  	I'm not afraid of ghosts (at a		
385	9	ฉัน(ก็)ไม่คิดว่า... chǎn	gɔ̂ɔ	mâi kít wâa... I didn't think (that)... / I don't think (that)...  	mâi kít wâa... I didn't think 		
386	10	มันมากเกินไป	man mâak-gəən-bpai	That's/It's too much. 	That's/It's too much. 		
387	11	จำไม่ได้	jam mâi-dâi	I can't remember.  	I can't remember.  		
388	12	ผมเห็นกับตา	pǒm hěn-gàp-dtaa	I saw it myself. / I saw it with my own eyes.  	I saw it myself. / I saw it wi		
389	13	ยังไม่เคยไป(...) yang mâi-kəəi bpai	...	I've never been there. / I haven't been to... yet.  	I've never been there. / I hav		
390	14	ไม่น่าเชื่อ	ว่า...	mâi-nâa-chʉ̂a (wâa...) Unbelievable! / Incredible! / It's hard to believe...  	mâi-nâa-chʉ̂a (wâa...) Unbelie		
391	15	จะไปไหนกันดี	jà bpai-nǎi gan dii	Where should we go? / Where do you wanna go?  	Where should we go? / Where do		
392	16	ผม(ก็)ตัดสินใจแล้ว pǒm	gɔ̂ɔ	dtàt-sǐn-jai lɛ́ɛo I've decided. / I've made up my mind.  	dtàt-sǐn-jai lɛ́ɛo I've decide		
393	17	พูดจริงเหรอ	pûut jing rə̌ə	Are you serious? (about what you are saying/what you told me)  	Are you serious? (about what y		
394	18	(โอเค)... คุณชนะ	oo-kee	... kun chá-ná (Okay)...You win. (I lose; I was wrong, etc.)  	... kun chá-ná (Okay)...You wi		
395	19	(ผม)จะโทรไป(หา)	pǒm	jà too-bpai (hǎa) I'll call you.  	jà too-bpai (hǎa) I'll call yo		
396	20	ตอนนี้เลย	dtɔɔn-níi ləəi	Right now. / Now!  	Right now. / Now!  		
397	1	ลองเข้าไปดู	lɔɔng kâo bpai duu	Go and have a look. / Go in and check it out.  	Go and have a look. / Go in an	Super Useful Short Expressions, Part 21  	low-intermediate level
398	2	ไม่ต้องห่วงเรื่อง...	mâi dtɔ̂ng hùang rʉ̂ang...	Don't worry about... / You don't need to worry about... 	Don't worry about... / You don		
399	3	ไม่มีใครฟังฉัน(เลย) mâi mii krai fang chǎn	ləəi	No one listens to me. / No one's listening.  	No one listens to me. / No one		
400	4	ห้ามปฏิเสธ	hâam bpà-dtì-sèet	You can't say no. / You can't refuse. 	You can't say no. / You can't 		
