description	term
clear (of liquid); limpid; to clarify; to make sth clear; to be clear (about the facts)	澄清 chéng qīng
(coll.) all day long; all the time	成天 chéng tiān
attendant on an airplane, train, boat etc	乘务员 chéng wù yuán
to appear; to emerge; present (a certain appearance); demonstrate	呈现 chéng xiàn
effect; result	成效 chéng xiào
intentional; deliberate; on purpose	成心 chéng xīn
member	成员 chéng yuán
sincere; cordial	诚挚 chéng zhì
steelyard; Roman balance; CL:臺|台[tái]	秤 chèng
to bear; hardships	吃苦 chī kǔ
entail strenuous effort; be a strain	吃力 chī lì
slow; sluggish	迟缓 chí huǎn
lasting; enduring; persistent; permanent; protracted; endurance; persistence; to last long	持久 chí jiǔ
pool; pond	池塘 chí táng
to hesitate	迟疑 chí yí
equator (of the earth or astronomical body)	赤道 chì dào
(financial) deficit; red letter	赤字 chì zì
to serve as; to act as; to play the role of	充当 chōng dāng
impetus; impulse; emotional impulse; impulsive	冲动 chōng dòng
an attack; under attack; a shock	冲击 chōng jī
abundant; plentiful; vigorous	充沛 chōng pèi
rich; substantial; enrich; substantiate	充实 chōng shí
conflict; to conflict; clash of opposing forces; collision (of interests); contention	冲突 chōng tū
adequate; sufficient; abundant	充足 chōng zú
to worship; adoration	崇拜 chóng bài
to overlap; to superimpose; to telescope; to run together; to duplicate; one over another; superposition; an overlap; redundancy; reduplication (in Chinese grammar, e.g. 散散步[sàn sàn bù] to have a stroll)	重叠 chóng dié
majestic; sublime	崇高 chóng gāo
to revere; high esteem	崇敬 chóng jìng
Double Ninth or Yang Festival; 9th day of 9th lunar month	重阳节 Chóng yáng jié
to find the time to do sth	抽空 chōu kòng
preparations; to get ready for sth	筹备 chóu bèi
to hesitate	踌躇 chóu chú
dense	稠密 chóu mì
ugly; repulsive	丑恶 chǒu è
initial; preliminary; tentative	初步 chū bù
a way out (of a difficulty etc)	出路 chū lù
to offer for sale; to sell; to sell out or betray	出卖 chū mài
family background; class origin	出身 chū shēn
entranced; Trance (music genre)	出神 chū shén
promise; prospects; future	出息 chū xi
to make a fool of oneself	出洋相 chū yáng xiàng
reserves; to store up	储备 chǔ bèi
stockpile; to store; to stockpile; storage	储存 chǔ cún
to discipline sb; to punish; disciplinary action; to deal with (a matter); CL:個|个[gè]	处分 chǔ fèn
plight; unfavorable situation	处境 chǔ jìng
to deposit money; to save; savings	储蓄 chǔ xù
