ID,uid,Chinese,Trad.,Pinyin,PlainPY,Definition
80,80,带,带,dài,dai4,"band; belt; girdle; ribbon; tire; area; zone; region; Classifiers: 条 ; to 
wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; 
to look after; to raise"
81,81,进,进,jìn,jin4,"to go forward; to advance; to go in; to enter; to put in; to submit; to 
take in; to admit; (math.) base of a number system; classifier for sections 
in a building or residential compound"
82,82,你家,你家,nǐjiā,ni3 jia1,
83,83,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
84,84,房间,房间,fángjiān,fang2 jian1,room; Classifiers: 间
85,85,和,和,hé,he2,"and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] 
when it means ""and"" or ""with""; surname He; Japanese (food, clothes etc); 
old variant of 和 ; old variant of 和 ; harmonious"
86,86,十,十,shí,shi2,ten; 10
87,87,多年,多年,duōnián,duo1 nian2,many years
88,88,前,前,qián,qian2,"front; forward; ahead; first; top (followed by a number); future; ago; 
before; BC (e.g. 前 293年 ); former; formerly"
89,89,在,在,zài,zai4,"(located) at; (to be) in; to exist; in the middle of doing sth; (indicating 
an action in progress)"
90,90,天津,天津,tiānjīn,Tian1 jin1,"Tianjin, a municipality in northeast China, abbr. 津"
91,91,时,时,shí,shi2,o'clock; time; when; hour; season; period; surname Shi; old variant of 时
92,92,一样,一样,yīyàng,yi1 yang4,same; like; equal to; the same as; just like
93,93,要,要,yào,yao4,"important; vital; to want; to ask for; will; going to (as future 
auxiliary); may; must; (used in a comparison) must be; probably; if"
94,94,和,和,hé,he2,"and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] 
when it means ""and"" or ""with""; surname He; Japanese (food, clothes etc); 
old variant of 和 ; old variant of 和 ; harmonious"
95,95,我,我,wǒ,wo3,I; me; my
96,96,发生,发生,fāshēng,fa1 sheng1,to happen; to occur; to take place; to break out
97,97,性关系,性关系,xìngguānxi,xing4 guan1 xi5,sexual relations; sexual contact; intercourse
98,98,那天,那天,nàtiān,na4 tian1,that day; the other day
99,99,下午,下午,xiàwǔ,xia4 wu3,afternoon; Classifiers: 个 ; p.m.
100,100,我,我,wǒ,wo3,I; me; my
101,101,很,很,hěn,hen3,(adverb of degree); quite; very; awfully
102,102,怕,怕,pà,Pa4,to be afraid; to fear; to dread; to be unable to endure; perhaps; surname Pa
103,103,根本,根本,gēnběn,gen1 ben3,"fundamental; basic; root; simply; absolutely (not); (not) at all; 
Classifiers: 个"
104,104,没想到,没想到,méixiǎngdào,mei2 xiang3 dao4,didn't expect
105,105,会,会,huì,hui4,"can; to be possible; to be able to; will; to be likely to; to be sure to; 
to assemble; to meet; to gather; to see; union; group; association; 
Classifiers: 个 [ge4]; a moment (Taiwan pr. for this sense is [hui3])"
106,106,是,是,shì,shi4,is; are; am; yes; to be; variant of 是 ; (used in given names)
107,107,这样,这样,zhèyàng,zhe4 yang4,this kind of; so; this way; like this; such
108,108,一个,一个,yīgè,yi1 ge4,
109,109,人,人,rén,ren2,man; person; people; Classifiers: 个
110,110,在外,在外,zàiwài,zai4 wai4,outer; excluded
111,111,帮,帮,bāng,bang1,"to help; to assist; to support; for sb (i.e. as a help); hired (as worker); 
side (of pail, boat etc); outer layer; upper (of a shoe); group; gang; 
clique; party; secret society; old variant of 帮 ; old variant of 帮"
112,112,守,守,shǒu,shou3,"to guard; to defend; to keep watch; to abide by the law; to observe (rules 
or ritual); nearby; adjoining"
113,113,着,着,zhe,zhe5,aspect particle indicating action in progress
114,114,因为,因为,yīnwèi,yin1 wei4,because; owing to; on account of
115,115,谁,谁,shéi,shei2,who; also pr. [shui2]
116,116,都,都,dōu,dou1,all; both; entirely; (used for emphasis) even; already; (not) at all
117,117,不可能,不可能,bùkěnéng,bu4 ke3 neng2,impossible; cannot; not able
118,118,相信,相信,xiāngxìn,xiang1 xin4,to be convinced (that sth is true); to believe; to accept sth as true
119,119,老婆,老婆,lǎopó,lao3 po2,(coll.) wife
120,120,会,会,huì,hui4,"can; to be possible; to be able to; will; to be likely to; to be sure to; 
to assemble; to meet; to gather; to see; union; group; association; 
Classifiers: 个 [ge4]; a moment (Taiwan pr. for this sense is [hui3])"
121,121,愿意,愿意,yuànyì,yuan4 yi4,to wish; to want; ready; willing (to do sth)
122,122,七,七,qī,qi1,seven; 7
123,123,年前,年前,niánqián,nian2 qian2,before the end of the year; before the new year
124,124,我们,我们,wǒmen,wo3 men5,we; us; ourselves; our
125,125,发生,发生,fāshēng,fa1 sheng1,to happen; to occur; to take place; to break out
126,126,过,过,guò,Guo4,"to cross; to go over; to pass (time); to celebrate (a holiday); to live; to 
get along; excessively; too-; surname Guo"
127,127,一次性,一次性,yīcìxìng,yi1 ci4 xing4,one-off (offer); one-time; single-use; disposable (goods)
128,128,关系,关系,guānxi,guan1 xi5,"relation; relationship; to concern; to affect; to have to do with; guanxi; 
Classifiers: 个 ; variant of 关系"
129,129,然后,然后,ránhòu,ran2 hou4,after; then (afterwards); after that; afterwards
130,130,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
131,131,升,升,shēng,sheng1,"to ascend; to rise to the rank of; to promote; to hoist; liter; measure for 
dry grain equal to one-tenth dou 斗 ; variant of 升 ; variant of 升 ; to 
ascend; to rise in rank"
132,132,常委,常委,chángwěi,chang2 wei3,member of standing committee
133,133,去,去,qù,qu4,"to go; to go to (a place); (of a time etc) last; just passed; to send; to 
remove; to get rid of; to reduce; to be apart from in space or time; to die 
(euphemism); to play (a part); (when used either before or after a verb) to 
go in order to do sth; (after a verb of motion indicates movement away from 
the speaker); (used after certain verbs to indicate detachment or 
separation)"
134,134,北,北,běi,bei3,north; (classical) to be defeated
135,135,京,京,jīng,Jing1,"abbr. for Beijing; surname Jing; Jing ethnic minority; capital city of a 
country; big; algebraic term for a large number (old); artificial mound 
(old)"
136,136,就,就,jiù,jiu4,"at once; right away; only; just (emphasis); as early as; already; as soon 
as; then; in that case; as many as; even if; to approach; to move towards; 
to undertake; to engage in; to suffer; subjected to; to accomplish; to take 
advantage of; to go with (of foods); with regard to; concerning"
137,137,再,再,zài,zai4,"again; once more; re-; second; another; then (after sth, and not until 
then); no matter how ... (followed by an adjective or verb, and then 
(usually) 也 or 都 for emphasis)"
138,138,没,没,méi,mei2,(negative prefix for verbs); have not; not
139,139,联系,联系,liánxì,lian2 xi4,"connection; contact; relation; to get in touch with; to integrate; to link; 
to touch; variant of 联系"
140,140,过,过,guò,Guo4,"to cross; to go over; to pass (time); to celebrate (a holiday); to live; to 
get along; excessively; too-; surname Guo"
141,141,我,我,wǒ,wo3,I; me; my
142,142,原本,原本,yuánběn,yuan2 ben3,originally; original
143,143,埋藏,埋藏,máicáng,mai2 cang2,to bury; to hide by burying; hidden
144,144,了,了,le,le5,"(completed action marker); (modal particle indicating change of state, 
situation now); (modal particle intensifying preceding clause)"
145,145,一切,一切,yīqiè,yi1 qie4,everything; every; all
146,146,在心,在心,zàixīn,zai4 xin1,
147,147,里,里,lǐ,Li3,"lining; interior; inside; internal; also written 里 ; li, ancient measure of 
length, approx. 500 m; neighborhood; ancient administrative unit of 25 
families; (Tw) borough, administrative unit between the township 镇 levels; 
variant of 里"
148,148,既然,既然,jìrán,ji4 ran2,since; as; this being the case
149,149,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
150,150,根本,根本,gēnběn,gen1 ben3,"fundamental; basic; root; simply; absolutely (not); (not) at all; 
Classifiers: 个"
151,151,不,不,bù,bu4,(negative prefix); not; no; variant of 不 ; (negative prefix); not; no
152,152,打算,打算,dǎsuàn,da3 suan4,"to plan; to intend; to calculate; plan; intention; calculation; 
Classifiers: 个"
153,153,负责,负责,fùzé,fu4 ze2,"to be in charge of; to take responsibility for; to be to blame; 
conscientious"
154,154,为何,为何,wèihé,wei4 he2,why
155,155,还要,还要,háiyào,hai2 yao4,
156,156,回来,回来,huílai,hui2 lai5,to return; to come back
157,157,找,找,zhǎo,zhao3,"to try to find; to look for; to call on sb; to find; to seek; to return; to 
give change"
158,158,我,我,wǒ,wo3,I; me; my
159,159,带,带,dài,dai4,"band; belt; girdle; ribbon; tire; area; zone; region; Classifiers: 条 ; to 
wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; 
to look after; to raise"
160,160,我去,我去,wǒqù,wo3 qu4,(slang) dang!; shoot!
161,161,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
162,162,家,家,jiā,Jia1,"home; family; (polite) my (sister, uncle etc); classifier for families or 
businesses; refers to the philosophical schools of pre-Han China; noun 
suffix for a specialist in some activity, such as a musician or 
revolutionary, corresponding to English -ist, -er, -ary or -ian; 
Classifiers: 个 ; see 家伙 ; surname Jia"
163,163,逼,逼,bī,bi1,"to force (sb to do sth); to compel; to press for; to extort; to press on 
towards; to press up to; to close in on; euphemistic variant of 屄 ; variant 
of 逼 ; to compel; to pressure"
164,164,我,我,wǒ,wo3,I; me; my
165,165,和,和,hé,he2,"and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] 
when it means ""and"" or ""with""; surname He; Japanese (food, clothes etc); 
old variant of 和 ; old variant of 和 ; harmonious"
166,166,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
167,167,发生,发生,fāshēng,fa1 sheng1,to happen; to occur; to take place; to break out
168,168,关系,关系,guānxi,guan1 xi5,"relation; relationship; to concern; to affect; to have to do with; guanxi; 
Classifiers: 个 ; variant of 关系"
169,169,是,是,shì,shi4,is; are; am; yes; to be; variant of 是 ; (used in given names)
170,170,我,我,wǒ,wo3,I; me; my
171,171,没有,没有,méiyǒu,mei2 you3,haven't; hasn't; doesn't exist; to not have; to not be
172,172,证据,证据,zhèngjù,zheng4 ju4,evidence; proof; testimony
173,173,也,也,yě,Ye3,"also; too; (in Classical Chinese) final particle implying affirmation; 
surname Ye"
174,174,根本,根本,gēnběn,gen1 ben3,"fundamental; basic; root; simply; absolutely (not); (not) at all; 
Classifiers: 个"
175,175,不可能,不可能,bùkěnéng,bu4 ke3 neng2,impossible; cannot; not able
176,176,留下,留下,liúxià,liu2 xia4,to leave behind; to stay behind; to remain; to keep; not to let (sb) go
177,177,证据,证据,zhèngjù,zheng4 ju4,evidence; proof; testimony
178,178,后来,后来,hòulái,hou4 lai2,afterwards; later
179,179,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
180,180,一直,一直,yīzhí,yi1 zhi2,"straight (in a straight line); continuously; always; from the beginning of 
... up to ...; all along"
181,181,否认,否认,fǒurèn,fou3 ren4,to declare to be untrue; to deny
182,182,可,可,kě,ke3,"can; may; able to; to approve; to permit; to suit; (particle used for 
emphasis) certainly; very"
183,183,确是,确是,quèshì,que4 shi4,certainly
184,184,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
185,185,先,先,xiān,xian1,early; prior; former; in advance; first
186,186,喜欢,喜欢,xǐhuan,xi3 huan5,to like; to be fond of
187,187,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
188,188,我,我,wǒ,wo3,I; me; my
189,189,否则,否则,fǒuzé,fou3 ze2,if not; otherwise; else; or else
190,190,我,我,wǒ,wo3,I; me; my
191,191,也,也,yě,Ye3,"also; too; (in Classical Chinese) final particle implying affirmation; 
surname Ye"
192,192,不可,不可,bùkě,bu4 ke3,cannot; should not; must not
193,193,能,能,néng,neng2,can; to be able to; might possibly; ability; (physics) energy
194,194,接触,接触,jiēchù,jie1 chu4,to touch; to contact; access; in touch with
195,195,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
196,196,到,到,dào,dao4,"to (a place); until (a time); up to; to go; to arrive; (verb complement 
denoting completion or result of an action)"
197,197,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
198,198,那天,那天,nàtiān,na4 tian1,that day; the other day
199,199,下午,下午,xiàwǔ,xia4 wu3,afternoon; Classifiers: 个 ; p.m.
200,200,我,我,wǒ,wo3,I; me; my
201,201,原本,原本,yuánběn,yuan2 ben3,originally; original
202,202,没有,没有,méiyǒu,mei2 you3,haven't; hasn't; doesn't exist; to not have; to not be
203,203,同意,同意,tóngyì,tong2 yi4,to agree; to consent; to approve
204,204,一直,一直,yīzhí,yi1 zhi2,"straight (in a straight line); continuously; always; from the beginning of 
... up to ...; all along"
205,205,哭,哭,kū,ku1,to cry; to weep
206,206,晚饭,晚饭,wǎnfàn,wan3 fan4,evening meal; dinner; supper; Classifiers: 份
207,207,是,是,shì,shi4,is; are; am; yes; to be; variant of 是 ; (used in given names)
208,208,和,和,hé,he2,"and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] 
when it means ""and"" or ""with""; surname He; Japanese (food, clothes etc); 
old variant of 和 ; old variant of 和 ; harmonious"
209,209,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
210,210,还有,还有,háiyǒu,hai2 you3,furthermore; in addition; still; also
211,211,廉洁,廉洁,liánjié,lian2 jie2,honest; not coercive; honesty; integrity; incorruptible
212,212,阿姨,阿姨,āyí,a1 yi2,"maternal aunt; step-mother; childcare worker; nursemaid; woman of similar 
age to one's parents (term of address used by child); Classifiers: 个"
213,213,一起,一起,yīqǐ,yi1 qi3,in the same place; together; with; altogether (in total)
214,214,吃,吃,chī,chi1,"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; 
to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2]); 
variant of 吃"
215,215,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
216,216,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
217,217,说,说,shuō,shuo1,"to speak; to say; to explain; to scold; to tell off; a theory (typically 
the last character in a compound, as in 日心说 heliocentric theory); variant 
of 说"
218,218,宇宙,宇宙,yǔzhòu,yu3 zhou4,universe; cosmos
219,219,很大,很大,hěndà,hen3 da4,tremendous
220,220,很大,很大,hěndà,hen3 da4,tremendous
221,221,地球,地球,dìqiú,di4 qiu2,the earth; Classifiers: 个
222,222,就是,就是,jiùshì,jiu4 shi4,"(emphasizes that sth is precisely or exactly as stated); precisely; 
exactly; even; if; just like; in the same way as"
223,223,宇宙,宇宙,yǔzhòu,yu3 zhou4,universe; cosmos
224,224,的,的,de,de5,"of; ~'s (possessive particle); (used after an attribute); (used to form a 
nominal expression); (used at the end of a declarative sentence for 
emphasis); also pr. [di4] or [di5] in poetry and songs"
225,225,一,一,yī,yi1,"one; 1; single; a (article); as soon as; entire; whole; all; throughout; 
""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for 
greater clarity when spelling out numbers digit by digit"
226,226,粒,粒,lì,li4,"grain; granule; classifier for small round things (peas, bullets, peanuts, 
pills, grains etc)"
227,227,沙,沙,shā,Sha1,"granule; hoarse; raspy; sand; powder; Classifiers: 粒 ; abbr. for Tsar or 
Tsarist Russia; surname Sha"
228,228,我们,我们,wǒmen,wo3 men5,we; us; ourselves; our
229,229,人类,人类,rénlèi,ren2 lei4,humanity; human race; mankind
230,230,连,连,lián,Lian2,"to link; to join; to connect; continuously; in succession; including; (used 
with 也 , 都 etc) even; company (military); surname Lian"
231,231,一,一,yī,yi1,"one; 1; single; a (article); as soon as; entire; whole; all; throughout; 
""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for 
greater clarity when spelling out numbers digit by digit"
232,232,粒,粒,lì,li4,"grain; granule; classifier for small round things (peas, bullets, peanuts, 
pills, grains etc)"
233,233,沙,沙,shā,Sha1,"granule; hoarse; raspy; sand; powder; Classifiers: 粒 ; abbr. for Tsar or 
Tsarist Russia; surname Sha"
234,234,都,都,dōu,dou1,all; both; entirely; (used for emphasis) even; already; (not) at all
235,235,没有,没有,méiyǒu,mei2 you3,haven't; hasn't; doesn't exist; to not have; to not be
236,236,还说,还说,háishuō,hai2 shuo1,to add (in speaking); to also say
237,237,了,了,le,le5,"(completed action marker); (modal particle indicating change of state, 
situation now); (modal particle intensifying preceding clause)"
238,238,很多,很多,hěnduō,hen3 duo1,very many; very much; great (quantity)
239,239,很多,很多,hěnduō,hen3 duo1,very many; very much; great (quantity)
240,240,就是,就是,jiùshì,jiu4 shi4,"(emphasizes that sth is precisely or exactly as stated); precisely; 
exactly; even; if; just like; in the same way as"
241,241,让,让,ràng,rang4,"to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel 
sad etc); by (indicates the agent in a passive clause, like 被 )"
242,242,我,我,wǒ,wo3,I; me; my
243,243,放下,放下,fàngxià,fang4 xia4,"to lay down; to put down; to let go of; to relinquish; to set aside; to 
lower (the blinds etc)"
244,244,思想包袱,思想包袱,sīxiǎngbāofu,si1 xiang3 bao1 fu5,sth weighing on one's mind
245,245,晚饭,晚饭,wǎnfàn,wan3 fan4,evening meal; dinner; supper; Classifiers: 份
246,246,后,后,hòu,Hou4,"back; behind; rear; afterwards; after; later; post-; empress; queen; 
(archaic) monarch; ruler; surname Hou"
247,247,我,我,wǒ,wo3,I; me; my
248,248,也,也,yě,Ye3,"also; too; (in Classical Chinese) final particle implying affirmation; 
surname Ye"
249,249,并不,并不,bìngbù,bing4 bu4,not at all; emphatically not
250,250,愿意,愿意,yuànyì,yuan4 yi4,to wish; to want; ready; willing (to do sth)
251,251,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
252,252,说,说,shuō,shuo1,"to speak; to say; to explain; to scold; to tell off; a theory (typically 
the last character in a compound, as in 日心说 heliocentric theory); variant 
of 说"
253,253,恨,恨,hèn,hen4,to hate; to regret
254,254,我,我,wǒ,wo3,I; me; my
255,255,又,又,yòu,you4,(once) again; also; both... and...; and yet; (used for emphasis) anyway
256,256,说,说,shuō,shuo1,"to speak; to say; to explain; to scold; to tell off; a theory (typically 
the last character in a compound, as in 日心说 heliocentric theory); variant 
of 说"
257,257,你,你,nǐ,ni3,"you (informal, as opposed to courteous 您 )"
258,258,这,这,zhè,zhe4,"this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing)"
259,259,七,七,qī,qi1,seven; 7
260,260,年,年,nián,nian2,year; Classifiers: 个 ; surname Nian; grain; harvest (old); variant of 年
261,261,从未,从未,cóngwèi,cong2 wei4,never
262,262,忘记,忘记,wàngjì,wang4 ji4,to forget
263,263,过,过,guò,Guo4,"to cross; to go over; to pass (time); to celebrate (a holiday); to live; to 
get along; excessively; too-; surname Guo"
264,264,我,我,wǒ,wo3,I; me; my
265,265,会,会,huì,hui4,"can; to be possible; to be able to; will; to be likely to; to be sure to; 
to assemble; to meet; to gather; to see; union; group; association; 
Classifiers: 个 [ge4]; a moment (Taiwan pr. for this sense is [hui3])"
266,266,对,对,duì,dui4,"right; correct; couple; pair; towards; at; for; to face; opposite; to treat 
(sb a certain way); to match together; to adjust; to fit; to suit; to 
answer; to reply; classifier: couple"
267,267,我,我,wǒ,wo3,I; me; my
268,268,好,好,hǎo,hao3,"good; well; proper; good to; easy to; very; so; (suffix indicating 
completion or readiness); (of two people) close; on intimate terms; (after 
a personal pronoun) hello"
269,269,等,等,děng,deng3,"class; rank; grade; equal to; same as; to wait for; to await; et cetera; 
and so on; et al. (and other authors); after; as soon as; once"
270,270,我,我,wǒ,wo3,I; me; my
271,271,又,又,yòu,you4,(once) again; also; both... and...; and yet; (used for emphasis) anyway
272,272,怕,怕,pà,Pa4,to be afraid; to fear; to dread; to be unable to endure; perhaps; surname Pa
273,273,又,又,yòu,you4,(once) again; also; both... and...; and yet; (used for emphasis) anyway
274,274,慌,慌,huāng,huang1,to get panicky; to lose one's head; (coll.) (after 得 ) unbearably; terribly
