term	description
权力制衡,均势	balance of power
贸易平衡	balance of trade
1997年平衡預算法案1997	Balanced Budget: Act of 1997 Passed by Congress in 1997, this historic measure mandated a balanced federal budget by 2001 but was ironically undone in that very year by the events of 9/11.
貝爾福宣言	Balfour Declaration: Named for the British foreign secretary who, in 1947, declared that the United Kingdom favored "the establishment in Palestine of a national home for the Jewish people" and pledged to "facilitate the achievement of this object, it being clearly understood that nothing shall be done which may prejudice the civil and religious rights of the existing non-Jewish communities in Palestine or the rights and political status enjoyed by Jews in any other country."
巴尔干	Balkan
弹道导弹防御	ballistic missile defense
选票	Ballot
波罗的海	Baltic
禁止	ban
万隆会议	Bandung conference
搭便车	bandwagon
野蛮状态	barbarism
离退休人员基本养老金	basic pensions for retirees
寨Zhài	Bastille: At the time of the French Revolution (1789), the Bastille was the infamous royal prison in Paris; the mass storming of the Bastille on July 14, 1789, and the freeing of the prisoners constituted a direct attack against the monarchy and symbolized the end of an era in French history; the revolutionaries then used the guillotine against none other than the reigning Bourbon monarch, King Louis XVI, and his extravagant wife, Queen Marie Antoinette.
被任命为驻...大使	be appointed ambassador to ...
对某事表示深切关注	be deeply concerned about sth.
认为	be of the opinion, to hold, to consider, to maintain
行為工程	behavioral engineering The carefully programmed use of rewards and punishments to instill desired patterns of behavior in an individual or an animal.
行為主義	behaviorism An approach to the study of politics that emphasizes fact-based evaluations of action.
柏林墙	Berlin Wall
兩院制Liǎngyuànzhì	bicameralism Division of the legislature into two houses.
双边协议	bilateral agreement
双边援助	bilateral aid
双边和多边经济合作	bilateral and multilateral economic cooperation
双边冲突	bilateral conflict
双边贸易	bilateral trade
双边主义	bilateralism
法案，议案	bill (two terms)
法案的褫奪Fǎ'àn de chǐduó	bill of attainder: a legislative decree that declares a person guilty and prescribes punishment without any judicial process.
权利法案	Bill of rights
生物武器公约	Biological Weapons Convention (BWC): A 1972 international arms control treaty that pledged the destruction of biological weapon stockpiles and outlawed the production and storage of such weapons.
两极权力分布	bipolar distribution of power
兩極體制	bipolar system: the breakdown of the traditional European balance-of-power system into two rival factions headed by the United States and the former Soviet Union, each with overwhelming economic and military superiority and each unalterably opposed to the politics and ideology of the other.
街区选举，集团投票	block vote
人体炸弹	body bomb
布尔战争	Boer War
布尔什维克	bolshevik
炸弹；轰炸	bomb
边界谈判	boundary negotiation
資產階級Zīchǎn jiējí	bourgeoisie: in Marxist ideology, the capitalist class.
智囊团	brain trust
领海宽度	breadth of territorial sea
倒台与政权更迭	breakdown and regime change
布雷顿森林协定	Bretton Woods Agreement
邊緣政策	brinkmanship: in diplomacy, the deliberate use of military threats to create a crisis atmosphere; the calculated effort to take a tense bilateral relationship to the brink of war in order to achieve a political objective (for example, deterring a common enemy from carrying out an act of aggression against an ally).
英國拉吉	British Raj: British colonial rule on the Asian subcontinent from the eighteenth century to 1947, when India and Pakistan became independent.
促成民主	brokered democracy: this theory holds that the interests of major groups cannot be steamrolled by the majority without jeopardizing democracy and that legislators and decision makers should act as brokers in writing laws and devising policies that are acceptable to all major groups in society.
布鲁塞尔条约	Brussels Treaty
预算，预算编制	Budget/Budgeting
缓冲国	buffer state
聯邦參議院Liánbāng cānyìyuàn	Bundesrat: The upper house in the German federal system; its members, who are appointed directly by the Länder (states), exercise mostly informal influence in the legislative process.
德國聯邦議院Déguó liánbāng yìyuàn	Bundestag: The lower house in the German federal system; most legislative activity occurs in this house.
官僚制/官僚	bureaucracy
官僚政治	bureaucratic politics
拜占庭帝国	Byzantine Empire
戴維營協議Dàiwéiyíng xiéyì	Camp David Accords: A 1979 agreement by which Israel gave the Sinai back to Egypt in return for Egypt's recognition of Israel's right to exist; the two former enemies established full diplomatic relations and pledged to remain at peace with one another.
候选人，选手	candidate
候选人选择	candidate selection
資本主義	capitalism: an economic system in which individuals own the means of production and can legally amass unlimited personal wealth. Capitalist theory holds that governments should not impose any unnecessary restrictions on economic activity and that the laws of supply and demand can best regulate the economy. In a capitalist system, the private sector (mainly business and consumers), rather than government, makes most of the key decisions about production, employment, savings, investment, and the like. The opposite of a centrally planned economy such as existed in the Soviet Union under Stalin and Stalin's successors.
看守政府	caretaker government
迦太基	Carthage
个案研究,案例研究	case study
伤亡	casualty
催化戰爭Cuīhuà zhànzhēng	catalytic war: A conflict that begins as a localized and limited encounter but grows into a general war after other parties are drawn into the conflict through the activation of military alliances.
高加索	Caucasus
政党秘密会议	caucus
停火	cease-fire
細胞Xìbāo	cells: small, tightly knit organizational units at the grassroots level of V. I. Lenin's Bolshevik party.
审查制度	censorship
中央银行	central bank
中央纪律检查委员会	Central Commission for Discipline Inspection
中央情报局	Central Intelligence Agency
中央军事委员会	Central Military Commission
中央与地方的关系	Central/Local relations
委任证书	certificate of appointment
共同外交与安全政策	CFSP, Common foreign and Security Policy
主任委员	Chairman
自治区人民政府主席	Chairman, Autonomous Regional People's Government
（地方人大）主任	Chairman, Local People's Congress
全国人大委员长/副委员长	Chairman/Vice Chairman, National People's Congress
代办,临时代办	chargé d'affaires ,interim
魅力型領導者	charismatic leader: A political leader who gains legitimacy largely through the adoration of the populace. Such adoration may spring from past heroic feats (real or imagined) or from personal oratorical skills and political writings.
特许状	charter
沙文主义	chauvinism
制衡 / 三权分立	checks and balances: Constitutional tools that enable branches of government to resist any illegitimate expansion of power by other branches.
化學武器公約	Chemical Weapons Convention: A 1993 international arms control treaty to eliminate chemical weapons within 10 years. It calls for the destruction of chemical weapons stockpiles and the monitoring of companies making compounds that can be used to produce nerve agents in order to end production of chemical weapons.
切尔诺贝利核事故	Chernobyl nuclear accident
首领，长官	chief
县长	Chief Executive, County Government
区长	Chief Executive, District Government
香港特别行政区行政长官	Chief Executive, Hong Kong Special Administrative Region
乡镇长	Chief Executive, Township Government
审判长	Chief Judge
人民法庭庭长	Chief Judge , People's Tribunals
中国文学艺术界联合会	China Federation of Literary and Art Circles
中国电影家协会	China Film Association
中国法律会	China Law Society
中国气象局	China Meteorological Bureau
中国证券监督管理委员会	China Securities Regulatory Commission(CSRS)
中国地震局	China Seismological Bureau
中国科学技术协会	China Society and Technology Association
中国民间文艺家协会	China Society for the Study of Folk Literature and Art
全国史学会	China Society of History
中国政法学会	China Society of Political Science and Law
中国残疾人福利基金会	China Welfare Fund for the Handicapped
中国福利会	China Welfare Institute
中国少年先锋队	China Young Pioneers
中国国家机关	China's State Organs
中国工程院	Chinese Academy of Engineering
中国科学院	Chinese Academy of Sciences
中国社会科学院	Chinese Academy of Social Sciences
中国杂技艺术家协会	Chinese Acrobats Association
中国美术家协会	Chinese Artists Association
中国曲艺家协会	Chinese Ballad Singers Association
中国佛教协会	Chinese Buddhists Association
中国书法家协会	Chinese Calligraphers Association
中国天主教主教团	Chinese Catholic Bishops College
中国舞蹈家协会	Chinese Dancers Association
中国戏剧家协会	Chinese Dramatists Association
中华帝国	Chinese empire
中国伊斯兰教协会	Chinese Islamic Association
中国法律质询中心	Chinese Legal Consultancy Centre
中华医学会	Chinese Medical Association
中国金融学会	Chinese Monetary Society
中国音乐家协会	Chinese Musicians Association
中国奥林匹克委员会	Chinese Olympic Committee
中国歌剧研究会	Chinese Opera Research Institute
中国天主教爱国会	Chinese Patriotic Catholic Association
中国笔会中心	Chinese Pen Centre
中国人民对外友好协会	Chinese People's Association for Friendship with Foreign Countries
中国人民保卫儿童基金会	Chinese People's National Committee for Defense of Children
中国摄影家协会	Chinese Photographers Society
中国出版协会	Chinese Publishers Association
中国计量测试学会	Chinese Society for Measurement
中国国际法学会	Chinese Society of International Law
中国科学技术史学会	Chinese Society of Science and Technology History
中国道教协会	Chinese Taoist Association
中国电视艺术家协会	Chinese Television Artists Association
中国作家协会	Chinese Writers Association
基督教	Christianity
教会与国家	church and state
通知照会	circular note
民间外交	citizen diplomacy
公民領袖Gōngmín lǐngxiù	citizen-leader: An individual who influences government decisively even though he or she holds no official government position.
公民權Gōngmínquán	citizenship: The right and the obligation to participate constructively in the ongoing enterprise of self-government.
城邦国家	city state
公民教育Gōngmín jiàoyù	civic education The process of inculcating in potential citizens the fundamental values and beliefs of the established order.
中国民用航空总局	Civil Aviation Administration of China (CAAC) 8
非暴力反抗	Civil disobedience 5
公民自由	Civil liberties
公民权利	Civil rights
市民社会	civil society
內戰Nèizhàn	civil war A war between geographical sections or political factions within a nation.
文明的冲突	clash of civilizations
阶层/阶级	class
阶级斗争	class struggle
古典现实主义	classical realism
無階級社會Wú jiējí shèhuì	classless society In Marxist political theory, the ideal society in which wealth is equally distributed according to the principle "from each according to his ability, to each according to his needs."
教权主义	Clericalism
书记	Clerk of the Court
科员	Clerk/Officer
保护主义	Clientelism
美国有线新闻网	CNN (Central News Network) 7
共同決定Gòngtóng juédìng	co-decision In the European Union, a method of legislation and rule-making that involves both the European Council (heads of government) and the European Parliament.
联合政府	Coalition government
聯盟Liánméng	coalition In a multiparty parliamentary system, the political situation in which no single party has a majority and the largest party allies itself loosely with other, smaller parties to control a majority of the legislative seats.
集合理论	Coalition theory
鸡尾酒会	cocktail party
强制性外交	coercive diplomacy
认知心理学	cognitive psychology
认知主义	cognitivism
同居Tóngjū	cohabitation In France, the uneasy toleration of a divided executive.
单一民族国家	coherent state
倒塌	collapse
集体行动	Collective action
集体领导	Collective leadership
集體記憶Jítǐ jìyì	collective memory The things we learn about in grade school—what we come to "know" about our leaders, about crises we have survived as a nation, and about wars we have fought.
集體安全Jítǐ ānquán	collective security In international relations, the aim of an agreement among several nations to establish a single powerful bloc that will be turned on any nation that commits an act of aggression; because no single nation could ever overpower the collective force, aggression would be futile.
集體主義Jítǐ zhǔyì	collectivism The belief that the public good is best served by common (as opposed to individual) ownership of a political community's means of production and distribution.
集體化Jítǐ huà	collectivization The takeover of all lands and other means of production by the state.
殖民统治	Colonial government
殖民主義Zhímín zhǔyì	colonialism The policy of seeking to dominate the economic or political affairs of underdeveloped areas or weaker countries (see also imperialism).
商务专员	commercial attaché
商务处	commercial counsellor's office
商業共和國Shāngyè gònghéguó	commercial republic This concept, found in the Federalist Papers, is most closely identified with Alexander Hamilton, who championed the idea of a democracy based on economic vitality, capitalistic principles, and private enterprise free of undue state regulation.
商务参赞	commercial secretary
委员会	Commission
法制委员会	Commission of Legislative Affairs
国防科学技术工业委员会	Commission of Science, Technology and Industry for National Defense
特派员,警监	Commissioner
总警监	Commissioner General
地区专员	Commissioner, prefecture
内务司法委员会	Committee for Internal and Judicial Affairs
宪法修改委员会	Committee for Revision of the Constitution
特定问题委员会	Committee of Inquiry into Special Questions
公报	communique
普通法Pǔtōng fǎ	common law In Great Britain, laws derived from consistent precedents found in judges' rulings and decisions, as opposed to those enacted by Parliament. In the United States, the part of the common law that was in force at the time of the Revolution and not nullified by the Constitution or any subsequent statute.
獨立國家聯合體（獨聯體）Dúlì guójiā liánhé tǐ (dú lián tǐ)	Commonwealth of Independent States (CIS) A loose federation of newly sovereign nations created after the collapse of the Soviet Union; it consisted of almost all the republics that previously had made up the USSR.
共產主義Gòngchǎn zhǔyì	communism A political system based on radical equality; the antithesis of capitalism.
中国共产主义青年团	Communist Youth League of China
社区/共同体	Community (two terms)
共同体意识	community sense
比较政治学	comparative politics
比较研究	comparative study
竞争性政党制度	Competitive party system
全面禁止和彻底销毁核武器	complete prohibition and thorough destruction of nuclear weapons
复合相互依赖	complex interdependence
综合国力	Comprehensive National Power
综合安全	comprehensive security
全面禁止核试验条约	Comprehensive Test Ban Treaty
强制性投票	Compulsory voting
安全概念	concept of security
欧洲协调	Concert of Europe
大国协调	Concert of Powers
调解	conciliation
大多數並發Dà duōshù bìngfā	concurrent majority John Calhoun's theory of democracy, which holds that the main function of government is to mediate between and among the different economic, social, and sectional interests in U.S. society.
同時權力Tóngshí quánlì	concurrent powers Joint federal and state control.
谴责	condemn
邦联	confederation
儒家文明	Confucian civilization
儒教徒	Confucianist
美国国会	Congress
维也纳会议	Congress of Vienna
威斯特伐利亚会议	Congress of Westphalia
最高行政法院	Conseil d'Aetat
保守Bǎoshǒu	conservative A political philosophy that emphasizes prosperity, security, and tradition above other values (see also liberal).
联合民主	Consociational democracy
警员	Constable
选区	constituency
宪法/宪政	Constitution/constitutionalism
宪政民主	constitutional democracy
立宪政体	Constitutional government
宪法	Constitutional law
立宪主义 / 宪政	Constitutionalism
建构主义	constructivism
领事	consul
总领事	consul-general
领事馆	consulate
磋商	consultations
消费者物价指数	Consumer Price Index (CPI)
遏制Èzhì	containment The global status quo policy followed by the United States after World War II; the term stems from the U.S. policy of containing attempts by the Soviet Union to extend its sphere of control to other states as it had done in Eastern Europe. NATO, the Marshall Plan, and the Korean and Vietnam wars grew out of this policy.
当代外交	contemporary diplomacy
大陆国家	continental country
大陆秩序	Continental Order
常规	convention
常规战争	conventional war
宪法规约	Convention of the constitution
合作安全	cooperative security
巴黎统筹委员会	Coordinating Committee for Multilateral Export Control
哥本哈根学派	Copenhagen School
盛情接待	cordial hospitality
核心利益	core interests
中心边缘模式	core-periphery model
社团主义	Corporatism
國際化的民主Guójì huà de mínzhǔ	cosmopolitan democracy A model of democracy that sees the individual as part of a world order, not merely (or even primarily) as a citizen of a particular nation-state.
世界主义	cosmopolitanism
哥萨克人	Cossacks
部长会议	Council of Ministers
欧盟理事会	Council of the European Union
参赞,参事	counsellor
公使衔参赞	counsellor withthe rank of minister, minister-counsellor
国务院参事室	Counselors' Office of the State Council
反主流文化	counterculture
反恐Fǎnkǒng	counterterrorism
转型国家	country in transition
侨居国	country of one's residence
县级领导	County level officials
县长	County Mayor
政變Zhèngbiàn	coup d'etat: The attempted seizure of governmental power by an alternate power group (often the military) that seeks to gain control of vital government institutions without any fundamental alteration in the form of government or society.
中共中央委员会	CPC Central Committee
撞击，坠毁	crash
代表资格审查委员会	Credentials Committee
克里米亚战争	Crimean War
危害人類罪Wéihài rénlèi zuì	crimes against humanity A category of crime, first introduced at the Nuremberg trials of Nazi war criminals, covering the wanton, brutal extermination of millions of innocent civilians.
危害和平Wéihài hépíng	crimes against peace A Nuremberg war crimes trial category, covering the violation of international peace by waging an unjustified, aggressive war.
国际关系批判理论	critical international theory
跨文化比较分析	cross-cultural comparative analysis
海峡两岸关系	cross-Strait relations
王权	crown
巡航导弹	cruise missile
十字军	Crusade
全面禁止核试验	CTB, Comprehensive test ban
古巴导弹危机	Cuban Missile Crisis
文化专员	cultural attaché
文化帝国主义	cultural imperialism
文化参赞	cultural secretary
累计投票	Cumulative vote
外汇汇率	currency exchange rate
汇市	currency market
关税同盟	customs union
控制论	cybernetic theory; cybernetics
周期理论	cyclical theory
达尔文主义	Darwinism
道威斯计划	Dawes Plan
事实上承认	de facto recognition
法律承认	de jure recognition
僵局	deadlock
死亡数	death toll
分散化	decentralization
决策	Decision making
独立宣言	Declaration of Independence
聲明權利人Shēngmíng quánlì rén	Declaration of the Rights of Man: Enacted by the French National Assembly in August 1789, this brief manifesto was intended as the preamble to a liberal-democratic constitution to be written later; it affirmed the sovereign authority of the nation but limited that authority by recognizing the right to individual life, property, and security.
宣扬	declaration, manifesto
人权宣言	Declarations of the Rights of Man and the Citizen
解构	deconstruction
防务政策	defense policy
防御现实主义	defensive realism
顺从	Deference
赤字	deficit
延期还本付息	delayed repayment of capital and interest
代表理論的代表性Dàibiǎo lǐlùn de dàibiǎo xìng	delegate theory of representation A theory that elected officials should reflect the views of their constituencies.
授权立法	Delegated legislation
代表团	delegation
煽動者Shāndòng zhě	demagogue Someone who uses his or her leadership skills to gain public office through appeals to popular fears and prejudices and then abuses that power for personal gain.
外层空间的非军事化	demilitarization of outer space
民主牆Mínzhǔ qiáng	Democracy Wall A wall located in the heart of Beijing on which public criticism of the regime was permitted to be displayed in 1978.
民主集中制	Democratic centralism
民主的關聯Mínzhǔ de guānlián	democratic correlates Conditions or correlates thought to relate positively to the creation and maintenance of democracy within a nation.
民主和平论	democratic peace
民主社會主義Mínzhǔ shèhuì zhǔyì	democratic socialism A form of government based on popular elections, public ownership and control of the main sectors of the economy, and broad welfare pro grams in health and education to benefit citizens.
民主化Mínzhǔ huà	democratization Mikhail Gorbachev's policy of encouraging democratic reforms within the former Soviet Union, including increased electoral competition within the Communist party.
邓小平理论	Deng Xiaoping Theory
部门	Department
国务院直属机构	Departments Directly under the State Council
附庸国	dependency
依附理论	dependency theory
因变量	dependent variable
副团长	deputy head of the delegation, deputy leader of the delegation
全国人大代表	deputy to the National People's Congress
专制	Despotism
缓和	détente
威懾Wēishè	deterrence In criminal justice theory, punishing a criminal for the purpose of discouraging others from committing a similar crime. In international relations, the theory that aggressive wars can be prevented if potential victims maintain a military force sufficient to inflict unacceptable punishment on any possible aggressor.
发展友好合作关系	develop the relations of friendship and cooperation
发展中国家	developing countries
国务院发展研究中心	Development Research Centre of the State Council
發展民主Fāzhǎn mínzhǔ	developmental democracy A model of democracy that stresses the development of virtuous citizens.
非西方化	dewesternization
辯證唯物主義Biànzhèng wéiwù zhǔyì	dialectical materialism Karl Marx's theory of historical progression, according to which economic classes struggle with one another, producing an evolving series of economic systems that will lead, ultimately, to a classless society.
無產階級專政Wúchǎn jiējí zhuānzhèng	dictatorship of the proletariat: In Marxist theory, the political stage immediately following the workers' revolution, during which the Communist Party controls the state and defends it against a capitalist resurgence or counterrevolution; the dictatorship of the proletariat leads into pure communism and the classless society.
外交官	diplomat
外交邮袋	diplomatic bag, diplomatic pouch
外交途径	diplomatic channels
外交信使	diplomatic courier
外交礼仪	diplomatic etiquette
外交豁免	diplomatic immunity
外交代表机构	diplomatic mission
外交惯例	diplomatic practice
外交位次	diplomatic precedence
外交特权	diplomatic privileges
外交程序	diplomatic process
外交官衔	diplomatic rank
外交承认	diplomatic recognition
外交关系	diplomatic relations
外交代表	diplomatic representative
直接行动	Direct action
直接民主Zhíjiē mínzhǔ	direct democracy A form of government in which political decisions are made directly by citizens rather than by their representatives.
（部委办）主任, 局长, 司长	Director
办公厅主任	Director, General Office
弱势群体 对弱势群体给予特殊的就业援助。Special employment assistance should be given to members of disadvantaged groups.	disadvantaged groups
自由裁量权	Discretion
歧视	Discrimination
有争议的地区	disputed areas
解散议会	Dissolution of parliament
权力分配	distribution of power
區法院Qū fǎyuàn	district courts The court in which most U.S. federal cases originate.
行政劃分Xíngzhèng huàfēn	divided executive Situation in French government in which the president and the prime minister differ in political party or outlook.
君权神授, 神授王权	divine right of kings
处长/副处长	Division Chief /Deputy Division Chief
精英理论	Doctrine of elites
多哈回合Duōhā huíhé	Doha Round The trade negotiations within the framework of the World Trade Organization (WTO), formerly the General Agreement on Trade and Tariffs (GATT).
国内时事	Domestic Affairs
国内动乱	domestic disturbance
国内社会	domestic society
國內恐怖主義Guónèi kǒngbù zhǔyì	domestic terrorism A form of terrorism practiced within a country by people with no ties to any government.
占统治地位的党	Dominant party
自治领	Dominion
鸽派	doves
外交使团团长	doyen of the diplomatic corps, dean of the diplomatic corps
最低下限	Droop quota
雙首長Shuāng shǒuzhǎng	dual executive In a parliamentary system, the division of the functions of head of state and chief executive officer between two persons; the prime minister serves as chief executive, and some other elected (or royal) figure serves as ceremonial head of state.
雙聯邦制Shuāng liánbāng zhì	dual federalism Under this system, which prevailed in the United States between 1835 and 1860, the power of the national government was limited to enumerated powers; during this period, the Southern states claimed sovereign powers.
双重国籍	dual nationality
二元主义	dualism
结构二重性	duality of structure
正當程序Zhèngdàng chéngxù	due process A guarantee of fair legal procedure; it is found in the Fifth and Fourteenth amendments of the U.S. Constitution.
杜馬Dù mǎ	Duma Officially called the State Duma, it is the lower house of the Federal Assembly, Russia's national legislature, reestablished in the 1993 constitution, after having been abolished in 1917. It comprises 450 members, half of whom are elected from nationwide party lists, with the other half elected from single-member constituencies.
离任期间	during one's absence
副总警监	Duty General Police Commissioner
異位Yì wèi	dystopia A society whose creators set out to build the perfect political order only to discover that they cannot remain in power except through coercion and by maintaining a ruthless monopoly over the means of communication.
东方阵营	Eastern bloc
东印度公司	Eastern India Company
欧洲共同体	EC, European Community
欧洲法院	ECJ, the European Court of Justice
生态灭绝	ecocide
生态安全	ecological security
经济周期	economic circle
经济决定论	economic determinism
经济全球化	economic globalization
经济增长	economic growth
经济一体化	economic integration
经济复苏	economic recovery
经济制裁	economic sanction
经济安全	economic security
經濟刺激Jīngjì cìjī	economic stimulus A fiscal tool of government designed to bolster a weak economy and create jobs via public works projects and deficit spending.
生态政治学	ecopolitics
教育，科学，文化委员会	Education, Science, Culture and Public Health Committee
利己主义	egoism
竞选运动	Election campaign
选举纲领	Election program
选举团	Electoral college
选举制度	Electoral system
精英，精英主义	Elites, Elitism
精英民主理論Jīngyīng mínzhǔ lǐlùn	elitist theories of democracy In political thought, the theory that a small clique of individuals (a "power elite") at the highest levels of government, industry, and other institutions actually exercise political power for their own interests; according to elitist theories, ordinary citizens have almost no real influence on governmental policy.
禁运	embargo
新兴市场	emerging market
排放交易計劃（ETS）Páifàng jiāoyì jìhuà (ETS)	Emission Trading Scheme (ETS) In the European Union, part of an antipollution drive aimed at significantly reducing Europe's "carbon footprint" by 2020 by assigning carbonemission allowances to industries and factories and creating a carbon exchange, or a market where "clean" companies (ones that do not use their full allowances) can sell the "credits" they accumulate by not polluting to "dirty" companies (ones that exceed their allowances).
经验主义	empiricism
雇主组织	Employer's organization
欧洲货币体系	EMS, European Monetary System
经济与货币联盟	EMU, Economic and Monetary Union
历史的终结	end of history
能源危机	energy crisis
恩格斯	Engels
国际关系的英国学派	English School of International Relations
启蒙运动时期	Enlightenment period
协约	entente
權利Quánlì	entitlements: Government expenditures that provide benefits that are deeply ingrained in the fabric of American life and that Americans expect as a matter of right because they have made mandatory tax contributions to government-run retirement and health insurance funds.
护宪	Entrenchment
平等保護Píngděng bǎohù	equal protection The doctrine enshrined in the Fourteenth Amendment that holds that the prohibitions placed on the federal government and the protections afforded American citizens under the Bill of Rights also apply to the states.
平等互利	equality and mutual benefit
均衡Jūnhéng; 平衡	equilibrium A synonym for the word balance; also often used interchangeably with stability in literature on international relations.
建立外交关系	establishment of diplomatic relations
等级	Estates
莊園一般Zhuāngyuán yībān	Estates-General The legislature of France before 1789 in which each of the three estates (clergy, nobility, and commoners) was represented.
民族委员会	Ethnic Affairs Committee
種族清洗Zhǒngzú qīngxǐ	ethnic cleansing The practice of clearing all Muslims out of towns and villages in Bosnia by violent means; the term has also been used to characterize genocidal assaults on minority populations in other parts of the world, including the Darfur region of Sudan.
种族冲突	ethnic conflict
民族身份	ethnic identity
種族中心主義的偏見Zhǒngzú zhōngxīn zhǔyì de piānjiàn	ethnocentric bias The inability of nations to be reasonably objective when judging their own acts because of ideology or nationalism.
种族优越感	ethnocentrism
欧洲联盟	EU, European Union
優生學Yōushēng xué	eugenics The science of controlling the hereditary traits in a species, usually by selective mating, in an attempt to improve the species.
欧亚大陆	Eurasia
歐元區Ōuyuán qū	euro area In the EU, the euro area zone refers to the 12 member states that have adopted the euro, including Germany, France, and Italy, but not the United Kingdom.
欧洲中心体系	Eurocentric system
欧洲共同市场	European Common Market
欧洲共同体	European Community
欧洲议会	European Parliament
歐洲聯盟（歐盟）Ōuzhōu liánméng (ōuméng)	European Union (EU) The economic association of European nations; formerly known as the Common Market or European Economic Community.
事後法Shìhòu fǎ	ex post facto law A law that retroactively criminalizes acts that were legal at the time they were committed.
互通有无	exchange of needed goods
排除規則Páichú guīzé	exclusionary rule In judicial proceedings, the rule that evidence obtained in violation of constitutional guidelines cannot be used in court against the accused.
专属经济区	exclusive economic zone (EEZ)
排他性	exclusivity
常务副县长	Executive Vice County Mayor
XX县常务副县长	Executive Vice County Mayor of XXX
常务副省长	Executive Vice Governor
行政机关	Executives
许可证书	exequatur
扩大内需，刺激消费	expand domestic demand and consumption
