ใช่		是	shi				đúng	It is.							
ใช้	cʰái	使	shi	sai2	사	sa	Chế tạo	To Use							
ซื่อ		實			실		Thực tế	loyal / honest							
ซวย							#VALUE!	unlucky							
เซียน		仙			선		Nàng tiên	expert							
ดู		睹			도	do	Thấy chưa	to see / to monitor / to watch							
ได้	dâi	得	dé	tɐk1	득	deug	phải	Get, obtain, completed action							
ตอน		段			단		phần	period							
ตอบ	tɔ̀:p	答	dá	tap3	답	dab	bài giải	Respond / answer							
ตาย	ta:i	死	sǐ	sei2	사	sa	chết	Death / To die							
ติด		設			설		Cho rằng	to setup							
เตะ	tè	踢	tī	tʰek3	踢	tī	Đá	Kick							
โต		大			대	dae	To lớn	to be big / to grow / to have grown							
โต้	tô:	鬪	dòu	tou1	투	tu	Cây tre	To fight against							
โต๊ะ	tó	桌	zhuō	cʰœk3	桌	zhuō	bàn	Table							
ถอด	tʰɔ̀:t	脫	tuō	tʰøi3	탈	tal	Cất cánh	To take off / cast off							
ถอย	tʰɔ̌:i	腿	tuǐ	tʰøi2	퇴	toe	Chân	To reverse / turn back							
ถัง	tʰǎŋ	桶	tǒng	tʰʊŋ2	통	tong	Gầu múc	Bucket							
ถั่ว	tʰù:a	豆	dòu	tɐu6	두	du	hạt đậu	Bean							
ฐาน		壇			단		bàn thờ	altar / base / platform							
ถ่าน	tʰà:n	碳	tàn	tʰan4	탄	tàn	carbon	Coal							
ถาม		探			탐	thăm	Khám phá	to ask							
ถึง		到			도		đến	to reach							
ถู		塗			도		Ứng dụng	to rub							
ถือ		持 / 提			지 / 제		Phòng ngừa /	to carry / to hold / to support							
แถว	tʰæ̌w	條	tiáo	tʰiu4	조	jo	dải.	A strip of something							
ทองคำ	tʰɔŋ kʰam	銅金	tóng jīn	tʰʊŋ4 kɐm1	동[금김]	dong-geum	Vàng đồng.	Gold  (Copper + Gold)							
ทา	tʰa:	擦	cā	cʰat1	찰	chal	lau đi	To rub							
ท่าน		神 / 臣			신		Thiên Chúa / Bộ trưởng	respected figure							
ทาย	tʰa:i	猜	cāi	cʰai1	시	si	đoán xem: V	Guess							
ที่	tʰî:	第	dì	tɐi6	제	je	NS	Ordinal number prefix (1st, 2nd, 3rd etc)						bɐt1	‘Not’ (Lao)
ที่	tʰî:	在	zài	cɔi6	재	jae	hiện hữu	Preposition ‘at’						cʰɐn3	Needle
ที่่	tʰî:	地	dì		지		đất	Land / place							
ที่	tʰî:	的	dì		적		của	adjective forming particle							
เท้า	tʰá:u	足	zú	cœj3	족	jog	Bàn Chân	Foot						kʰɐm4	Tuned musical instrument that is struck
นาง		娘			낭		mẹ	lady							
ใน		內			내		Bên trong	in / inside / inner							
ไหน		哪			나		ở đâu	which / where							
บ่	bɔ̀	不	bù	bɐt1	[부불]	bu	Đừng	‘Not’ (Lao)						seŋ4	City
แบ่ง		分			분	bun	Phút	to divide / share / split							
โบย		飛			비	bi	ruồi	to fly							
ป้าย	pâ:i	牌	pái	pʰai4	패	pae	Thẻ	Sign (Board)						fɔŋ4	Room
เปลี่ยน	plì:an	變	biàn	pin3	변	byeon	Thay đổi	To change						pʰai4	Playing card
เปีย	pi:e	辮	biàn	pin1	변	byeon	bím tóc	Plait						pʰai4	Sign (Board)
แป้ง	pæ̂:ŋ	粉	fěn	fɐn2	분	bun	Hồng	Flour						cʰai1	Guess
ผ้า		布			포		vải	textile / cloth							
แผ่น	pʰæ̀n	片	piàn	pʰin3	편	pyeon	mảnh	A think slice / sheet						sin3	A thin line / thread
พัก		泊			박		Berth.	to rest / to stay							
แพ้	pʰǽ:	敗	bài	pai6	패	pae	đánh bại	To Lose						ŋɐn4	Silver (Money)
พ่น		噴					Xịt nước	to spray							
ไพ่	pʰâi	牌	pái	pʰai4	패	pae	Thẻ	Playing card						jɐm1	Sound (to hear)
พาน		盤			반		đĩa ăn	tray							
มอง	mɔ:ŋ	望	wàng	mɔŋ6	망	mang	Thấy chưa	To gaze at						cʰœk3	Table
มั้ย	mái	嗎	ma	ma1	嗎	ma	NS	Final question particle						pin1	Plait
ม้า	má:	馬 (马)	mǎ	ma5	마 	ma	Ngựa	Horse						ji6	Easy
แมว	mæ:w	貓 (猫)	māo	mau1	묘	myo	Mèo Mèo)	Cat						jœk6	Medicine
ไม่	mâi	無 (无) Hokkien	wú	mɔ4	무 	mu	Không (không có) Hokkien	Negating particle – ‘not’						ji1	Chair
ไม้	mái	木	mù	mʊk6	목	mog	Gỗ	Wood / Tree						jyn4	Round
ย้อม	jɔ́:m	染	rǎn	jim5	염	yeom	thuốc nhuộm	Dye						tɐu6	Bean
ยา	ja:	藥	yào	jœk6	약	yag	thuốc	Medicine						mak6	Ink
ยิน	jin	音	yīn	jɐm1	음	eum	âm thanh	Sound (to hear)						sei2	Death / To die
เยียว		療			료 요	ryo yo	Đối xử	to heal / to treat							
เยี่ยว	jîao	尿	niào	niu6	[뇨요]	nyo / yo	tiểu	Urine						kwɔ1	To pass / exceed
ลู่		路			로		đường bộ	road / path							
แล้ว	lǽ:w	了	le ／ liāo	liu4	[료요]	lyo / yo	NS	Completed action indicator						cʰat1	To rub
เลี้ยง		養			양		giữ cho	to rear / to bring up							
เหลว		流			류		lưu lượng	liquid / fluid							
วัว (งัว)	wu:a (ŋu:a)	牛	niú	ŋɐu4	우	u	Gia súc	Cow / Bull						cʰɐŋ4	A level / floor
ว่า	wâ:	話 (话)	huà	wa6	화	hwa	Từ ngữ (từ)	Spoken word						fɐn2	Flour
เวียน	wi:an	圓	yuán	jyn4	원	won	vòng	Round						cou1	To rent
ไว	wai	快	kuài	fai3	쾌	kwae	nhanh chóng	Fast						pʰin3	A think slice / sheet
ส่ง	sòŋ	送	sòng	sʊŋ3	송	song	giao	To send / set something apart from an agent						cœj3	Foot
สอง	sɔ̌:ŋ	雙	shuāng	sœŋ1	쌍	ssang	đôi	Pair' - means '2' in Thai.						mʊk6	Wood / Tree
สี	sǐ	色	sè	sɪk1	색	saeg	màu sắc	Colour							
เส้น	sên	線	xiàn	sin3	선	seon	Dây	A thin line / thread							
เสียง	sǐ:aŋ	聲	shēng	seŋ1	성	seong	Tiếng nói	Sound / Voice							
เสี่ยง		險			험		đặt vào may rủi	risk							
เสื้อ		衫					Áo sơ mi	shirt / dress / clothes							
สวย			(Hokkien only)				#VALUE!								
ห้าง		行			행		Hàng ngang	shop / store							
หก	hòk	落	luò	lɔk6	락	rag	ngã	To spill							
หวน		還			환		trở lại	to return							
หมอย	mɔ̌:i	毛	máo	mou4	모	mo	tóc	Hair (Pubic Hair in Thai)							
หมี่		米			미		Mét	rice noodle							
หมึก	mɯ̀k	墨	mò	mak6	묵	mug	mực	Ink							
หยก	jòk	玉	yù	jʊk6	옥	og	Ngọc bích	Jade							
ไหล		來 / 流			래 / 류		Đến / suối	to flow / to come							
หวัง	wǎŋ	望	wàng	mɔŋ4	망	mang	Thấy chưa	Hope							
ห้อง	hɔ̂:ŋ	房	fáng	fɔŋ4	방	bang	nhà ở	Room							
เห็น	hěn	見	jiàn	kin3	[견현]	gyeon / hyeon	Nhìn thấy	To see							
ให้	hâi	給 (给)	gěi	kʰɐp1	급 (给)	geub	Cho (cho)	To bestow / give							
อย่าง	jà:ŋ	樣	yàng	jœŋ6	양	yang	Mẫu vật	A type of / manner / style							
อยาก		欲			욕		muốn	desire							
อยู่	jù:	於 (于)	yú	jy1	어 (우)	eo (u)	(Trong)	Preposition particle ‘at’ / ‘sitting at a position’							
อุ่น		溫			온		nhiệt độ	to warm / to be warm							
เอว	e:w	腰	yāo	jiu1	요	yo	thắt lưng	Waist							
เอา	a:u	有	yǒu	jɐu6	유	yu	Có	To possess (Thai – take into possession/ desire / want)							
