khamphuan	thai-plaintext	English	Rating
หวยอาหมี	หีอาหมวย	Chinese girl's pussy	R
เก็ตแล้วหยอด	เย็ดแล้วกอด	Fuck then cuddle	R
ผีอยากมีหัว	ผัวอยากมีหี	Husband wants pussy	R
เผ็ดกันยัด	เย็ดกันพัด	Fucking fiercely	R
ยุคเข็ด	เย็ดขุด	Fucking hard	R
ยำเป็นประเจ็ท	เย็ดเป็นประจำ	Fuck regularly	R
ง่วงเป็นเชี่ยน	เงี่ยนเป็นช่วง	Horny in waves	R
คอคุณหมวย	ควยคุณหมอ	Doctor's dick	R
หารบี	หีระบา	Dancer's pussy	R
ใครชอบปาไห เดี๋ยวจะไปหา	ใครชอบไปหา เดี๋ยวจะไปหา	Who likes to throw jars? I'll go find them	PG
พออ่านจดหมายลาตาย ก็เริ่มรู้สึกลายตา	ลาตาย - ตาลาย	Leave to die – Eyes get dizzy	PG
อะไรๆมันก็ใช่จัง จนทำให้ฉันต้องมาชั่งใจ	ใช่จัง - ชั่งใจ	Really right – Weighing my heart	PG
ยามรบ เรารบ ยามพักรบ เราพบรัก	พักรบ - พบรัก	Pause war – Find love	PG
หน้าเธอนี่ ใสจน มีแต่คนมาสนใจ	ใสจน  สนใจ	So clear everyone is interested	PG
แม้เธอตัวมาเป็นๆ แต่มองไม่เห็น เพราะฉัน ตามัว	ตามัว ตัวมา	Blurry vision – Arrived in person	PG
คะถึงนิด	คิดถึงนะ	Miss you	PG
เชยนะนอบ	ชอบนะเนย	Like you, butter	PG
คังถึงจิ๊ด	คิดถึงจั๊ง	Miss you so much	PG
คิกเป็นก้อ	ขอเป็นกิ๊ก	Want to be your fling	PG
เหี่ยนะน่วง	ห่วงนะเนี่ย	Worried about you	PG
เชอะนอบ	ชอบเนอะ	Like it, right?	PG
เขอถึงสมิด	คิดถึงเสมอ	Always miss you	PG
จันทร์อยู่ใกล้ไก	ใจอยู่ใกล้กัน	Hearts close together	PG
ร้ายไม่มีวันหนัก	รักไม่มีวันไหน	Love never stops	PG
ชะนอบ	ชอบนะ	Like you	PG
ชังจ้อบ	ชอบจัง	Really like	PG
ชะเธอนอบ	ชอบนะเธอ	Like you	PG
ระอยู่นอ	รออยู่นะ	Waiting for you	PG
เรอธอ	รอเธอ	Waiting for you	PG
เรียวเธอคนดอ	รอเธอคนเดียว	Waiting for only you	PG
เรียวดัก	รักเดียว	One true love	PG
เคียวเธอคนคือ	คือเธอคนเดียว	Only you	PG
เมียวเธอคนดี	มีเธอคนเดียว	Only have you	PG
ไรเต็มหัวจัก	รักเต็มหัวใจ	Heart full of love	PG
เจอคิดถึงไท	ใจคิดถึงเธอ	Heart misses you	PG
คะโทษหนอ	ขอโทษนะ	Sorry	PG
รบไม่รู้จัก	รักไม่รู้จบ	Love never ends	PG
โคดถอ	ขอโทษ	Sorry	PG
ไข้เธอไม่ดาด	ขาดเธอไม่ได้	Can't be without you	PG
พ่ายกันจนวันเตีอน	เพื่อนกันจนวันตาย	Friends till death	PG
ด๊ะกันนี	ดีกันนะ	Make peace	PG
คีดิ์ด	คิดดี	Think good	PG
ทีดำ	ทำดี	Do good	PG
ตะอันดีเกง	ตะเองดีกัน	You be good	PG
ไหล่โดนจอ	หล่อโดนใจ	Handsome and striking	PG
ไร่คือการฮัก	รักคือการให้	Love is giving	PG
ไข้ให้เธอเห็นจอ	ขอให้เธอเห็นใจ	Want you to be considerate	PG
เขอใจทอ	ขอใจเธอ	Give me your heart	PG
ทันอยู่ในใจเฉอ	เธออยู่ในใจฉัน	You’re in my heart	PG
